name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ajmer,2024-06-02T00:00:00,32.3,32,15.4,36.14,0,0,,0,0,15.8,9.4,21.3,1004,0.7,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-02T01:00:00,31.8,31.5,15.6,37.66,0,0,,0,0,9.7,7.6,24.3,1003,0.5,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-02T02:00:00,31.9,35.7,22.2,56.55,0,0,,0,0,13.7,5.4,50,1003.1,60,4,0,0,0,3,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-02T03:00:00,29.9,30,16.3,43.9,0,0,,0,0,4.7,4,288,1003,4.5,24.1,0,0,0,3,Clear,clear-night,remote
ajmer,2024-06-02T04:00:00,30,30.1,16.3,43.65,0,0,,0,0,4.7,4.7,237.7,1004,4.4,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-02T05:00:00,27.9,29.6,20.2,62.96,0,0,,0,0,5.4,0,246.5,1003.3,30,4,0,0,0,10,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-02T06:00:00,29.7,29.6,15.6,42.46,0,0,,0,0,8.3,7.9,237.2,1004,0,24.1,0,0,0,3,Clear,clear-day,remote
ajmer,2024-06-02T07:00:00,30.5,30.2,15.2,39.53,0,0,,0,0,20.9,10.1,247.3,1004,0,24.1,30,0.1,0,3,Clear,clear-day,remote
ajmer,2024-06-02T08:00:00,32.1,32.4,16.9,40.22,0,0,,0,0,27.7,7.6,270,1003.9,0.1,4,198,0.7,2,10,Clear,clear-day,42343099999
ajmer,2024-06-02T09:00:00,33.9,34.2,16.7,35.89,0,0,,0,0,23.4,23,271.3,1005,1.1,24.1,412,1.5,4,10,Clear,clear-day,remote
ajmer,2024-06-02T10:00:00,34.9,35.7,17.3,35.26,0,0,,0,0,21.2,23,273.6,1005,2.6,24.1,615,2.2,6,10,Clear,clear-day,remote
ajmer,2024-06-02T11:00:00,36.2,39,19.9,38.62,0,0,,0,0,20.9,9.4,270,1003,0,4,787,2.8,8,10,Clear,clear-day,42343099999
ajmer,2024-06-02T12:00:00,37.3,38.4,17.2,30.71,0,0,,0,0,14.4,22.3,272.1,1005,0,24.1,909,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-02T13:00:00,38.4,39.1,16.2,27.15,0,0,,0,0,19.1,18.4,265.7,1005,25.7,24.1,972,3.5,10,10,Partially cloudy,partly-cloudy-day,remote
ajmer,2024-06-02T14:00:00,39.4,41.6,18.2,29.19,0,0,,0,0,14.4,5.4,270,1000.2,40,4,938,3.4,9,10,Partially cloudy,partly-cloudy-day,42343099999
ajmer,2024-06-02T15:00:00,37.8,37.7,14.9,25.8,0,0,,0,0,9.4,15.1,277,1003,94.2,24.1,242,0.9,2,10,Overcast,cloudy,remote
ajmer,2024-06-02T16:00:00,37.6,37.5,14.8,25.92,0,0,,0,0,18,21.2,299.9,1003,14.8,24.1,290,1,3,10,Clear,clear-day,remote
ajmer,2024-06-02T17:00:00,31.4,31.5,16.6,41.06,0,0,,0,0,35.3,7.6,50,1004,100,4,536,1.9,5,3,Overcast,cloudy,42343099999
ajmer,2024-06-02T18:00:00,34,32.8,12.6,27.39,0,0,,0,0,24.1,17.3,333.9,1003,84.8,24.1,164,0.6,2,10,Partially cloudy,partly-cloudy-day,remote
ajmer,2024-06-02T19:00:00,33.7,32.8,13.7,29.93,0,0,,0,0,14.4,13.7,195.3,1003,81.2,24.1,79,0.3,1,3,Partially cloudy,partly-cloudy-day,remote
ajmer,2024-06-02T20:00:00,29.2,30.9,19.9,57.31,2,100,rain,0,0,46.8,0,205.8,1003.6,90,2,9,0,0,5,"Rain, Partially cloudy",rain,42343099999
ajmer,2024-06-02T21:00:00,30.3,30.5,16.8,44.29,0,0,,0,0,19.8,9.4,161.3,1006,26.9,24.1,0,0,0,3,Partially cloudy,partly-cloudy-night,remote
ajmer,2024-06-02T22:00:00,29.6,30.3,17.8,49.11,0,0,,0,0,18.7,11.5,125.6,1007,2.2,24.1,0,0,0,5,Clear,clear-night,remote
ajmer,2024-06-02T23:00:00,29.1,30.4,19.2,55.19,0,0,,0,0,5.4,0,259.2,1002.8,80,4,0,0,0,5,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-03T00:00:00,30.7,30.5,15.7,40.35,0,0,,0,0,6.8,6.5,307.8,1004,4.4,24.1,0,0,0,3,Clear,clear-night,remote
ajmer,2024-06-03T01:00:00,31.2,30.4,14,35.15,0,0,,0,0,5.4,5.4,304.4,1003,0,24.1,0,0,0,3,Clear,clear-night,remote
ajmer,2024-06-03T02:00:00,28.2,29.5,19.4,58.88,0,0,,0,0,23.8,0,256,1002.4,60,4,0,0,0,10,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-03T03:00:00,30.4,29.8,14.3,37.51,0.1,100,rain,0,0,36,16.9,266.8,1003,0.7,24.1,0,0,0,3,Rain,rain,remote
ajmer,2024-06-03T04:00:00,30.5,30.2,15.2,39.53,0,0,,0,0,39.2,19.4,268.9,1003,0,24.1,0,0,0,5,Clear,clear-night,remote
ajmer,2024-06-03T05:00:00,28.2,29.3,18.7,56.36,0,0,,0,0,41,3.6,230,1002.2,4.7,4,0,0,0,3,Clear,clear-night,42343099999
ajmer,2024-06-03T06:00:00,30,29.2,13.3,35.97,0,0,,0,0,39.2,19.1,270.5,1003,1.2,24.1,0,0,0,3,Clear,clear-day,remote
ajmer,2024-06-03T07:00:00,30.3,29.5,13.4,35.59,0,0,,0,0,38.5,19.8,272.6,1004,0,24.1,30,0.1,0,5,Clear,clear-day,remote
ajmer,2024-06-03T08:00:00,32,31,13.4,32.3,0,0,,0,0,34.9,21.2,274.4,1005,0,24.1,199,0.7,2,3,Clear,clear-day,remote
ajmer,2024-06-03T09:00:00,34,32.9,12.9,27.94,0,0,,0,0,32,25.6,271.9,1005,0,24.1,415,1.5,4,3,Clear,clear-day,remote
ajmer,2024-06-03T10:00:00,35.8,34.8,12.9,25.28,0,0,,0,0,29.2,27.4,277.9,1005,0,24.1,623,2.2,6,10,Clear,clear-day,remote
ajmer,2024-06-03T11:00:00,37.1,38,16.9,30.46,0,0,,0,0,24.1,9.4,270,1003,0,4,796,2.9,8,10,Clear,clear-day,42343099999
ajmer,2024-06-03T12:00:00,37.8,37,13.1,22.96,0,0,,0,0,20.5,22.3,285.5,1005,0,24.1,918,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-03T13:00:00,38.9,38.3,13.3,21.92,0,0,,0,0,13,19.4,282.6,1005,0,24.1,981,3.5,10,10,Clear,clear-day,remote
ajmer,2024-06-03T14:00:00,40.9,41.7,15.6,22.85,0,0,,0,0,9.4,0,276.4,1000.9,30,4,979,3.5,10,10,Partially cloudy,partly-cloudy-day,42343099999
ajmer,2024-06-03T15:00:00,39.5,38.8,13,20.81,0,0,,0,0,7.9,13.7,266,1003,0,24.1,912,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-03T16:00:00,40,39.1,12.3,19.35,0,0,,0,0,8.6,11.9,262.8,1002,0.5,24.1,787,2.8,8,10,Clear,clear-day,remote
ajmer,2024-06-03T17:00:00,41.1,41.5,14.9,21.61,0,0,,0,0,11.5,0,258.6,999.5,2.7,4,614,2.2,6,10,Clear,clear-day,42343099999
ajmer,2024-06-03T18:00:00,40.8,39.2,10.2,16.13,0,0,,0,0,13.3,13,265.7,1001,1.6,24.1,408,1.5,4,10,Clear,clear-day,remote
ajmer,2024-06-03T19:00:00,40.4,38.8,10,16.26,0,0,,0,0,14.8,15.8,264.7,1001,11.3,24.1,194,0.7,2,10,Clear,clear-day,remote
ajmer,2024-06-03T20:00:00,36.4,38.4,18.9,35.9,0,0,,0,0,29.2,0,263.6,999.4,27.9,4,28,0.1,0,10,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-03T21:00:00,38.2,36.7,10.7,19.18,0,0,,0,0,34.6,20.2,264,1001,47.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
ajmer,2024-06-03T22:00:00,37.5,36.2,11.5,21.01,0,0,,0,0,36.7,22.7,265.2,1002,36.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
ajmer,2024-06-03T23:00:00,36.1,35.8,14.9,28.32,0,0,,0,0,36.4,7.6,270,1000.7,28.8,4,0,0,0,10,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-04T00:00:00,35.5,34.2,12.2,24.55,0,0,,0,0,35.3,18,280.5,1002,4.3,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-04T01:00:00,34.8,33.4,11.9,25.02,0,0,,0,0,38.5,18.7,289.5,1002,0.2,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-04T02:00:00,34.3,32.9,11.7,25.39,0,0,,0,0,43.6,22.3,292.3,1002,0.2,24.1,0,0,0,3,Clear,clear-night,remote
ajmer,2024-06-04T03:00:00,32.7,31.3,11.5,27.41,0,0,,0,0,51.1,31.7,266.2,1002,1.2,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-04T04:00:00,31.3,30.1,12.3,31.28,0,0,,0,0,51.8,30.2,268.2,1002,5.9,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-04T05:00:00,33.1,32.2,13.7,30.96,0,0,,0,0,50.4,16.6,270,1001.1,10,4,0,0,0,10,Clear,clear-night,42343099999
ajmer,2024-06-04T06:00:00,30.3,29.5,13.4,35.59,0,0,,0,0,52.9,29.2,269.6,1003,0,24.1,0,0,0,10,Clear,clear-day,remote
ajmer,2024-06-04T07:00:00,30.3,29.6,13.9,36.76,0,0,,0,0,51.8,29.9,267.1,1004,0,24.1,31,0.1,0,5,Clear,clear-day,remote
ajmer,2024-06-04T08:00:00,34.4,33.8,14.4,30.12,0,0,,0,0,51.8,9.4,230,1002.5,0,4,200,0.7,2,5,Clear,clear-day,42343099999
ajmer,2024-06-04T09:00:00,33.4,32.4,13.5,30.05,0,0,,0,0,46.8,35.3,272.4,1005,0,24.1,416,1.5,4,3,Clear,clear-day,remote
ajmer,2024-06-04T10:00:00,35.2,34.4,13.6,27.36,0,0,,0,0,38.9,34.2,271.6,1005,0,24.1,623,2.2,6,10,Clear,clear-day,remote
ajmer,2024-06-04T11:00:00,38.4,38.1,14.1,23.72,0,0,,0,0,33.5,9.4,270,1001.9,0,4,795,2.9,8,10,Clear,clear-day,42343099999
ajmer,2024-06-04T12:00:00,37.8,37.4,14.2,24.66,0,0,,0,0,30.2,30.2,269.9,1005,0,24.1,917,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-04T13:00:00,38.8,38.5,14,23.06,0,0,,0,0,24.8,26.6,266.5,1004,0,24.1,983,3.5,10,10,Clear,clear-day,remote
ajmer,2024-06-04T14:00:00,41.2,41.4,14.4,20.82,0,0,,0,0,23.8,7.6,270,1000,0,4,982,3.5,10,10,Clear,clear-day,42343099999
ajmer,2024-06-04T15:00:00,40.1,39.7,13.4,20.68,0,0,,0,0,21.6,24.8,253.3,1003,0,24.1,915,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-04T16:00:00,40.2,39.8,13.5,20.71,0,0,,0,0,19.4,21.6,254.9,1002,0,24.1,789,2.8,8,10,Clear,clear-day,remote
ajmer,2024-06-04T17:00:00,40.9,41.2,14.7,21.56,0,0,,0,0,17.3,3.6,270,998.5,0,4,613,2.2,6,10,Clear,clear-day,42343099999
ajmer,2024-06-04T18:00:00,41.9,40.2,9.8,14.82,0,0,,0,0,17.6,19.1,294,999,5.1,24.1,408,1.5,4,10,Clear,clear-day,remote
ajmer,2024-06-04T19:00:00,41.3,39.6,9.7,15.19,0,0,,0,0,19.8,18.4,293.5,999,55.8,24.1,195,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
ajmer,2024-06-04T20:00:00,37.7,38,15.6,27.14,0,0,,0,0,38.5,0,198.3,999.2,99.2,4,23,0.1,0,10,Overcast,cloudy,42343099999
ajmer,2024-06-04T21:00:00,36.2,35.9,14.8,27.98,0,0,,0,0,49,40.3,202.9,1001,100,24.1,0,0,0,10,Overcast,cloudy,remote
ajmer,2024-06-04T22:00:00,36.7,36.1,14,25.85,0,0,,0,0,44.6,31.7,235.9,1002,98.8,24.1,0,0,0,10,Overcast,cloudy,remote
ajmer,2024-06-04T23:00:00,35.7,35.7,15.7,30.47,0,0,,0,0,49.3,3.6,270,1001.6,52,4,0,0,0,3,Partially cloudy,partly-cloudy-night,42343099999
ajmer,2024-06-05T00:00:00,34.2,32.1,8.1,20.06,0,0,,0,0,53.3,36,254.3,1003,4.7,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-05T01:00:00,32.9,30.9,8,21.43,0,0,,0,0,53.6,32,257.1,1003,13.4,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-05T02:00:00,34.9,35.1,16.2,32.89,0,0,,0,0,52.6,0,254.3,1001.5,8.7,4,0,0,0,10,Clear,clear-night,42343099999
ajmer,2024-06-05T03:00:00,31.5,29.7,8.4,23.84,0,0,,0,0,47.5,24.8,255.6,1004,77,19.8,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
ajmer,2024-06-05T04:00:00,31,29.5,10.3,27.87,0,0,,0,0,45.4,26.6,255.2,1004,37.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
ajmer,2024-06-05T05:00:00,31.7,30.8,13.6,33.29,0,0,,0,0,47.5,3.6,270,1002.5,10,4,0,0,0,10,Clear,clear-night,42343099999
ajmer,2024-06-05T06:00:00,29.5,28.9,13.9,38.5,0,0,,0,0,49.3,28.4,261.8,1004,0,24.1,0,0,0,5,Clear,clear-day,remote
ajmer,2024-06-05T07:00:00,29.5,29.3,15.3,42.14,0,0,,0,0,46.1,26.6,260.3,1005,0,24.1,30,0.1,0,5,Clear,clear-day,remote
ajmer,2024-06-05T08:00:00,32.2,33,17.9,42.6,0,0,,0,0,42.8,11.2,230,1004.4,0,2,197,0.7,2,5,Clear,clear-day,42343099999
ajmer,2024-06-05T09:00:00,32,32.4,17.1,40.97,0,0,,0,0,38.2,31.7,252.8,1006,0,24.1,411,1.5,4,3,Clear,clear-day,remote
ajmer,2024-06-05T10:00:00,33.8,34.1,16.6,35.86,0,0,,0,0,33.8,29.9,253.4,1006,0,24.1,616,2.2,6,3,Clear,clear-day,remote
ajmer,2024-06-05T11:00:00,36.7,37.7,17.2,31.73,0,0,,0,0,30.2,11.2,230,1003.7,0,4,790,2.8,8,10,Clear,clear-day,42343099999
ajmer,2024-06-05T12:00:00,36.7,37.2,16.4,30.16,0,0,,0,0,29.5,27.4,249,1006,0,24.1,912,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-05T13:00:00,37.8,38.5,16.4,28.41,0,0,,0,0,28.1,26.6,245.9,1005,0,24.1,975,3.5,10,10,Clear,clear-day,remote
ajmer,2024-06-05T14:00:00,40.4,41,15.4,23.17,0,0,,0,0,27,7.6,270,1000.3,0,4,974,3.5,10,30,Clear,clear-day,42343099999
ajmer,2024-06-05T15:00:00,39.2,39.5,15.2,24.39,0,0,,0,0,26.6,24.5,243.2,1003,0,24.1,910,3.3,9,10,Clear,clear-day,remote
ajmer,2024-06-05T16:00:00,39.8,39.7,14.3,22.28,0,0,,0,0,25.6,20.5,246.1,1002,0,24.1,786,2.8,8,10,Clear,clear-day,remote
ajmer,2024-06-05T17:00:00,40.4,40.5,14.4,21.72,0,0,,0,0,23.8,7.6,270,998,10,4,614,2.2,6,10,Clear,clear-day,42343099999
ajmer,2024-06-05T18:00:00,40.6,39.7,12.2,18.62,0,0,,0,0,24.8,18.4,267.7,1000,0,24.1,409,1.5,4,10,Clear,clear-day,remote
ajmer,2024-06-05T19:00:00,39.6,38.4,11.5,18.75,0,0,,0,0,23.4,28.4,278.5,1000,32.7,24.1,195,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
ajmer,2024-06-05T20:00:00,36.9,36.3,13.9,25.4,0,0,,0,0,38.9,9.4,270,999.8,17.9,4,27,0.1,0,10,Clear,clear-night,42343099999
ajmer,2024-06-05T21:00:00,37.1,34.8,6.8,15.64,0,0,,0,0,41.8,24.1,280,1002,1.2,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-05T22:00:00,36.1,33.8,6.9,16.64,0,0,,0,0,43.6,23,279.2,1002,0,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-05T23:00:00,34.4,33.3,12.9,27.32,0,0,,0,0,48.2,7.6,270,1002.6,0,4,0,0,0,10,Clear,clear-night,42343099999
ajmer,2024-06-06T00:00:00,33.2,32.2,13.5,30.38,0,0,,0,0,44.6,25.2,279.9,1004,0,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-06T01:00:00,32.3,31.4,13.6,32.17,0,0,,0,0,40.7,18.7,263.6,1004,0,24.1,0,0,0,10,Clear,clear-night,remote
ajmer,2024-06-06T02:00:00,33.1,32.1,13.2,29.96,0,0,,0,0,31.7,9.4,270,1002,0,4,0,0,0,10,Clear,clear-night,42343099999
ajmer,2024-06-06T03:00:00,30.6,29.6,12.9,33.86,0,0,,0,0,37.8,17.6,238.8,1005,0,24.1,0,0,0,5,Clear,clear-night,remote
ajmer,2024-06-06T04:00:00,30,29.4,14.2,38.14,0,0,,0,0,43.6,21.6,253.3,1005,0,24.1,0,0,0,5,Clear,clear-night,remote
